Nov 27 00:00:01 172.25.13.1 ﻿gpio: check_alerts pin=13 old_value=1 new_value=0
Nov 27 00:00:01 172.25.13.1 ﻿gpio: check_alerts pin=14 old_value=1 new_value=0
Nov 27 00:00:01 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 219,  status: 0
Nov 27 00:00:01 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 225,  status: 0
Nov 27 00:00:01 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 226,  status: 0
Nov 27 00:00:01 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 227,  status: 0
Nov 27 00:00:01 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 228,  status: 0
Nov 27 00:00:08 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 219,  status: 0
Nov 27 00:00:08 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 225,  status: 0
Nov 27 00:00:08 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 226,  status: 0
Nov 27 00:00:08 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 227,  status: 0
Nov 27 00:00:08 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 228,  status: 0
Nov 27 00:00:14 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 219,  status: 0
Nov 27 00:00:14 172.25.13.1 ﻿cp_stack_mgr:   INFO  ncm_intel_modem.c(2544) int1: ncm_intel_attach_process() step: 225,  status: 0
